"Symbol","Company","Industry","Series","Face Value(Rs.)","Purpose","Ex-Date","Record Date","BC Start Date","BC End Date","No Delivery Start Date","No Delivery End Date"
"737GS2023","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","13-Apr-2020","15-Apr-2020","-","-","-","-"
"CORALFINAC","Coral India Finance & Housing Limited","-","EQ","2"," Buy Back","16-Apr-2020","17-Apr-2020","-","-","-","-"
"GSKCONS","GlaxoSmithKline Consumer Healthcare Limited","-","EQ","10"," Merger","16-Apr-2020","17-Apr-2020","-","-","-","-"
"772GS2055","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","23-Apr-2020","24-Apr-2020","-","-","-","-"
"KSB","Ksb Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 8 Per Share","23-Apr-2020","-","27-Apr-2020","07-May-2020","-","-"
"78GS2020","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment/Redemption/","29-Apr-2020","02-May-2020","-","-","-","-"
"618GS2024","Government of India","-","GS","100"," Interest Payment","29-Apr-2020","02-May-2020","-","-","-","-"
"RAIN","Rain Industries Limited","-","EQ","2"," Annual General Meeting","05-May-2020","-","07-May-2020","12-May-2020","-","-"
"879GS2021","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","05-May-2020","07-May-2020","-","-","-","-"
"824GS2033","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","06-May-2020","08-May-2020","-","-","-","-"
"761GS2030","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","06-May-2020","08-May-2020","-","-","-","-"
"915GS2024","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","12-May-2020","13-May-2020","-","-","-","-"
"835GS2022","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","12-May-2020","13-May-2020","-","-","-","-"
"679GS2027","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","13-May-2020","14-May-2020","-","-","-","-"
"NESTLEIND","Nestle India Limited","-","EQ","10"," Annual General Meeting/Dividend Rs 61 Pr Sh","14-May-2020","-","18-May-2020","19-May-2020","-","-"
"716GS2023","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","18-May-2020","19-May-2020","-","-","-","-"
"883GS2023","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","21-May-2020","22-May-2020","-","-","-","-"
"815GS2026","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","21-May-2020","22-May-2020","-","-","-","-"
"794GS2021","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","21-May-2020","22-May-2020","-","-","-","-"
"772GS2025","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","21-May-2020","22-May-2020","-","-","-","-"
"662GS2051","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","26-May-2020","27-May-2020","-","-","-","-"
